"entity_name","team_abbr","level","parent_org","total_vs_expected","net_for","net_against","n_challenges","n_overturns","n_confirms","rate_overturns","exp_chal","exp_chal_gained","exp_chal_lost","exp_rate_overturns","net_chal_gained","net_chal_lost","n_strikeouts_flip","n_walks_flip","exp_rate_challenges","exp_rate_challenges_diff","n_challenges_against","n_overturns_against","n_confirms_against","rate_overturns_against","exp_chal_against","exp_chal_gained_against","exp_chal_lost_against","exp_rate_overturns_against","net_chal_gained_against","net_chal_lost_against","n_strikeouts_flip_against","n_walks_flip_against","exp_rate_challenges_against","exp_rate_challenges_diff_against"
"Hogan Harris","ATH","MLB","ATH",1.5590830714925827,2.029738030444697,0.4706549589521143,1,1,0,1,2.1014625520543415,0.5358622608048222,1.5656002912495193,0.2549949130813564,0.4641377391951778,-1.5656002912495193,0,0,0.040412741385660415,-0.021181972154891184,0,0,0,,0.4706549589521143,0,0.4706549589521143,,0,-0.4706549589521143,0,0,0.026147497719561905,-0.026147497719561905
"George Kirby","SEA","MLB","SEA",1.7292801262608193,1.4311849466719337,-0.29809517958888554,1,1,0,1,1.0433268124179151,0.3060709328729907,0.7372558795449246,0.2933605551300553,0.6939290671270093,-0.7372558795449246,1,0,0.015807982006332048,-0.0006564668548168961,0,0,0,,1.429975390564035,0.8640352850764603,0.5659401054875748,0.6042308775227614,-0.8640352850764603,-0.5659401054875748,0,0,0.05296205150237167,-0.05296205150237167
"Ryan Helsley","BAL","MLB","BAL",0.18969760651803724,0.3136664925437876,0.12396888602575035,1,1,0,1,1.3133194584251555,0.999826482940684,0.31349297548447147,0.7612972430482442,0.0001735170593161195,-0.31349297548447147,1,2,0.07725408578971503,-0.018430556377950325,0,0,0,,0.12396888602575035,0,0.12396888602575035,,0,-0.12396888602575035,0,0,0.030992221506437587,-0.030992221506437587
"Jesus Luzardo","PHI","MLB","PHI",-0.3969258719680883,0.021560668620573653,0.41848654058866197,1,1,0,1,1.498105932214533,1.2382726317969794,0.2598333004175532,0.8265587934536364,-0.23827263179697955,-0.2598333004175532,0,1,0.02203096959139019,-0.007325087238449013,2,1,1,0.5,1.4502257703725876,0.5158696148919626,0.9343561554806247,0.3557167617835304,0.4841303851080374,0.06564384451937541,1,0,0.0517937775133067,0.01963479391526473
"Roddery Munoz","HOU","MLB","HOU",-0.37075735544041544,-0.5147240976616374,-0.14396674222122197,1,0,1,,0.4852759023383626,0,0.4852759023383626,,0,0.5147240976616374,0,0,0.010325019198688565,0.010951576545992285,0,0,0,,0.7750184615218998,0.4594926018715609,0.3155258596503389,0.5928795566614731,-0.4594926018715609,-0.3155258596503389,0,0,0.05166789743479332,-0.05166789743479332
"Freddy Peralta","NYM","MLB","NYM",-0.5784173999656311,-0.5501555688138943,0.02826183115173686,1,1,0,1,2.144658074444777,1.8474068216293358,0.2972512528154415,0.861399233585337,-0.8474068216293358,-0.2972512528154415,1,1,0.034042191657853604,-0.018169175784837732,0,0,0,,0.46188436053944615,0.21681126469385464,0.2450730958455915,0.4694059449006574,-0.21681126469385464,-0.2450730958455915,0,0,0.023094218026972306,-0.023094218026972306
"Gregory Soto","PIT","MLB","PIT",-1.4096526422268207,-0.6154221004003637,0.794230541826457,1,0,1,,0.38457789959963623,0,0.38457789959963623,,0,0.6154221004003637,0,0,0.01831323331426839,0.029305814304779226,1,1,0,1,1.1259431429080917,0.6658563005408173,0.46008684236727443,0.5913764871119871,0.3341436994591826,-0.46008684236727443,1,0,0.07037144643175573,-0.007871446431755733
"Edwin Diaz","LAD","MLB","LAD",-0.7099807911767562,-0.6630347202820397,0.04694607089471647,1,0,1,,0.7808146448209772,0.22192468255150843,0.5588899622694686,0.28422197767869817,-0.22192468255150843,0.4411100377305313,0,0,0.0278862373150349,0.007828048399250815,0,0,0,,0.04694607089471647,0,0.04694607089471647,,0,-0.04694607089471647,0,0,0.006706581556388066,-0.006706581556388066
"Max Fried","NYY","MLB","NYY",-0.5688307709567074,-0.7925421393942639,-0.22371136843755646,1,1,0,1,2.883887459304866,2.338214799349565,0.5456726599553011,0.8107857301453677,-1.338214799349565,-0.5456726599553011,0,0,0.02883887459304866,-0.018838874593048657,0,0,0,,2.38131594142076,1.302513654929158,1.0788022864916016,0.5469722149308932,-1.302513654929158,-1.0788022864916016,0,0,0.04579453733501461,-0.04579453733501461
"Zach Pop","PHI","MLB","PHI",-0.7404189286783993,-0.917985429897043,-0.1775665012186437,1,0,1,,1.1385313621926962,0.5282583960448696,0.6102729661478266,0.4639822964801754,-0.5282583960448696,0.38972703385217344,0,0,0.03450095036947565,-0.0041979200664453405,0,0,0,,0.5373106226031374,0.3574385619108906,0.17987206069224687,0.6652363584013823,-0.3574385619108906,-0.17987206069224687,0,0,0.059701180289237495,-0.059701180289237495
"Matthew Liberatore","STL","MLB","STL",-1.1061254951214374,-0.9582156525900649,0.14790984253137246,1,0,1,,0.689824932653231,0.3240202926216479,0.3658046400315828,0.46971380314623984,-0.3240202926216479,0.634195359968417,0,0,0.011691948011071712,0.00525720453130117,0,0,0,,0.45008313047258125,0.1510866439706044,0.29899648650197685,0.3356860849504967,-0.1510866439706044,-0.29899648650197685,0,0,0.026475478263093016,-0.026475478263093016
"Cristopher Sanchez","PHI","MLB","PHI",-1.2900519049575445,-1.1002019695461631,0.1898499354113814,1,0,1,,1.2388676697014598,0.6695348196238115,0.5693328500776483,0.5404409494237224,-0.6695348196238115,0.43066714992235167,0,0,0.01905950261079169,-0.003674887226176304,0,0,0,,2.37634717401235,1.0932486193004842,1.2830985547118656,0.46005425101862774,-1.0932486193004842,-1.2830985547118656,0,0,0.08194300600042585,-0.08194300600042585
"Jose Quintana","COL","MLB","COL",-1.6744694455682234,-1.131758961793713,0.5427104837745106,1,0,1,,0.5530142482186933,0.34238660500620316,0.21062764321249022,0.6191279991592622,-0.34238660500620316,0.7893723567875097,0,0,0.015361506894963703,0.012416270882814075,0,0,0,,0.6938580048311659,0.07557376052832764,0.6182842443028382,0.10891819363922557,-0.07557376052832764,-0.6182842443028382,0,0,0.0630780004391969,-0.0630780004391969